1. <PRE, const>
1. <DEL, {>
2. <PRE, int>
2. <IDE, sete>
2. <REL, =>
2. <NRO, 4>
2. <DEL, ;>
3. <PRE, int>
3. <IDE, c>
3. <REL, =>
3. <NRO, 25>
3. <DEL, ;>
4. <PRE, real>
4. <IDE, oito>
4. <REL, =>
4. <NRO, 5.1>
4. <DEL, 1,>
4. <IDE, nove>
4. <REL, =>
4. <NRO, 2.1>
4. <DEL, 1;>
5. <PRE, string>
5. <IDE, dez>
5. <REL, =>
5. <CAC, "2">
5. <DEL, ;>
6. <DEL, }>
7. <PRE, variables>
7. <DEL, {>
8. <DEL, }>
9. <PRE, class>
9. <PRE, main>
9. <DEL, {>
10. <PRE, variables>
10. <DEL, {>
11. <DEL, }>
12. <PRE, objects>
12. <DEL, {>
13. <DEL, }>
14. <PRE, methods>
14. <DEL, {>
15. <PRE, void>
15. <PRE, main>
15. <DEL, (>
15. <DEL, )>
15. <DEL, {>
16. <PRE, variables>
16. <DEL, {>
17. <DEL, }>
18. <PRE, objects>
18. <DEL, {>
19. <DEL, }>
20. <PRE, return>
20. <DEL, ;>
21. <DEL, }>
22. <DEL, }>
23. <DEL, }>

############ Arquivo foi analisado com sucesso! ############
